,0
Trichopterna thorelli_NA,species
Microphysidae_NA,family+
Araeoncus humilis_NA,species
Meioneta rurestris_NA,species
Agelenidae_juveniles,family+
Satilatlas britteni_NA,species
Bathyphantes setiger_NA,species
Philodromus sp_juveniles,genus
Hypostenus latifrons_NA,species
Marpissa sp_juveniles,genus
Chironomidae_adults,family+
Ceratopogonidae_adults,family+
Tetragnathidae_juveniles,family+
Bidessus unistriatus_NA,species
Phlaeothripidae_NA,family+
Typhlocybinae_larvae,family+
Homoptera_larvae,unclassified
Polyhydrus lineatus_NA,species
Clubiona juvenis_NA,species
Glossiphonia heteroclita_NA,species
Sitticus caricis_NA,species
Rana sp_NA,genus
Caenis sp_NA,genus
Anthocomus coccineus_NA,species
Odacantha melanura_NA,species
Sepedon sphegea_NA,species
Paravespula vulgaris_NA,species
Colymbetes fusca_NA,species
Pteromicra leucopeza_NA,species
Gerris sp_NA,genus
Hahnia sp_immature,genus
Anisus leucostoma_NA,species
Asellus aquaticus_NA,species
Cercyon sternalis_NA,species
Elateridae_larvae,family+
Oligochaeta_larvae,unclassified
Locustella naevia_NA,species
Ensifera_NA,unclassified
Lumbricidae_NA,family+
Cerambycidae_larvae,family+
Insecta_larvae,unclassified
Saltatoria_larvae,unclassified
Hirudinea_NA,unclassified
Agraecina striata_NA,species
Lacerta agilis_NA,species
Nestus ruralis_NA,species
Nestus sp_NA,genus
Chilocorus bipustulatus_NA,species
Aphidina_larvae,unclassified
Cytilus sericeus_NA,species
Dryops sp_NA,genus
Libellula quadrimaculata_NA,species
Dipogon sp_NA,genus
Limnephilidae_NA,family+
Aprostocetus sp_NA,genus
Agriotes lineatus_NA,species
Arctosa leopardus_NA,species
Ischnura elegans_NA,species
Evarcha arcuata_NA,species
Sciocoris sp_NA,genus
Herina germinationis_NA,species
Otitinae_NA,family+
Neoascia sp_NA,genus
Cryptobium fracticorne_NA,species
Arctosa leopardus_immature,species
Lymnaea stagnalis_NA,species
Coronella austriaca_NA,species
Myllaena dubia_NA,species
Hahniidae_immature,family+
Erigone dentipalpis_NA,species
Hahniidae_juveniles,family+
Conocephalus discolor_NA,species
Chorthippus sp_NA,genus
Nestus mendicus_NA,species
Chorthippus montanus_NA,species
Staphylinus erythropterus_NA,species
Jassidae_NA,family+
Acrididae_NA,family+
Trypoxylon clavicerum_NA,species
Limonia sp_NA,genus
Sciocoris cursitans_NA,species
Procloeon bifidum_NA,species
Micrommata virescens_immature,species
Philaenus spumarius_NA,species
Gnaphosidae_immature,family+
Pterostichus strenuus_NA,species
Ligidium hypnorum_NA,species
Pterostichus minor_NA,species
Cicadella viridis_larvae,species
Delphacidae_NA,family+
Porcellium conspersum_NA,species
Formica sp_NA,genus
Trochosa spinipalpis_NA,species
Clubiona phragmitis_NA,species
Sympecma fusca_NA,species
Agromyzidae_NA,family+
Ozyptila sp_immature,genus
Ozyptila sp_juveniles,genus
Myllaena minuta_NA,species
Pediobius sp_NA,genus
Spanioconnus wetterhali_NA,species
Limothrips denticornis_NA,species
Dixella sp_NA,genus
Gnaphosidae_juveniles,family+
Micrommata virescens_juveniles,species
Vallonia pulchella_NA,species
Armadillidium opacum_NA,species
Porcellionidae_immature,family+
Anotylus intricatus_NA,species
Graptodytes granularis_NA,species
Neon valentulus_NA,species
Acupalpus flavicollis_NA,species
Carabus granulatus_NA,species
Thanatus striatus_NA,species
Diapriidae_NA,family+
Formica s.str. sp_NA,unclassified
Armadillidium pictum_NA,species
Stenodema calcaratum_NA,species
Agrotis exclamationis_NA,species
Carabidae_NA,family+
Thripomorpha paludicola_NA,species
Cantharis rufa_NA,species
Tabanus sp_NA,genus
Ero sp_immature,genus
Bryaxis bulbifer_NA,species
Araneus sturmi_NA,species
Athericidae_NA,family+
Euaesthetus ruficapillus_NA,species
Oxytelus sp_NA,genus
Diptera_NA,unclassified
Anelosimus vittatus_NA,species
Porrhomma microphthalmum_NA,species
Ozyptila sp_NA,genus
Porrhomma oblitum_NA,species
Ero sp_juveniles,genus
Tetrix subulata_NA,species
Tipulidae_NA,family+
Clubiona subtilis_NA,species
Orthetrum cancellatum_NA,species
Eucoilidae_NA,family+
Pseudomopidae_larvae,family+
Stalia boops_NA,species
Blennocampinae_NA,family+
Dolichovespula sylvestris_NA,species
Hebridae_larvae,family+
Acanthinula aculeata_NA,species
Lutra lutra_adults,species
Anguilla anguilla_adults,species
Pholis gunnellus_adults,species
Zoarces viviparus_adults,species
Myoxocephalus scorpius_adults,species
Salmo trutta_adults,species
Phalacrocorax carbo_adults,species
Pollachius virens_adults,species
Ammodytes tobianus_adults,species
Pomatoschistus microps_adults,species
Platichthys flesus_adults,species
Ardea cinerea_adults,species
Carcinus maenas_adults,species
Cygnus olor_adults,species
Enteromorpha_NA,species
Tadorna tadorna_adults,species
Hydrobia ulvae_adults,species
Ostracods_adults,family+
Corophium volutator_adults,species
Nereis diversicolor_adults,species
Littorina littorea_adults,species
Macoma balthica_adults,species
Mytilus edulis_adults,species
Cerastoderma edule_adults,species
Acarina_adults,family+
Anas penelope_adults,species
Somateria mollissima_adults,species
Crangon crangon_adults,species
Somateria mollissima (juvenile)_juveniles,species
Gammarus spp._adults,species
Haematopus ostralegus_adults,species
Charadrius hiaticula_adults,species
Neomysis integer_adults,species
Pluvialis apricaria_adults,species
Pluvialis squatarola_adults,species
Vanellus vanellus_adults,species
Calidris alpina_adults,species
Limosa lapponica_adults,species
Numenius arquata_adults,species
Tringa totanus_adults,species
Arenicola marina_adults,species
Littorina saxatilis_adults,species
Chironomid larvae_larvae,family+
Arenaria interpres_adults,species
Larus canus_adults,species
Sprattus sprattus_adults,species
Clupea harengus_adults,species
Larus ridibundus_adults,species
Larus argentatus_adults,species
Larus marinus_adults,species
Sterna Sandvicensis_adults,species
Platichthys flesus (juvenile)_juveniles,species
Sterna hirundo_adults,species
Sterna paradisaea_adults,species
Corvus frugilegus_adults,species
Corvus corone_adults,species
Calanoid copepods_adults,unclassified
Jaera marina_adults,species
Syngnathus rostellatus_adults,species
Harpacticoid copepods_adults,unclassified
Semibalanus balanoides_adults,species
Ciliata mustela_adults,species
Pygospio elegans_adults,species
Nematodes_adults,unclassified
Capitellidae_adults,family+
Foraminifera_adults,unclassified
Pomatoschistus minutus_adults,species
Hyale nilssoni_adults,species
Tubificoides benedeni_adults,species
Nototropis spp._adults,genus
Manayunkia aestuarina_adults,species
Agonus cataphractus_adults,species
Gasterosteus aculeatus_adults,species
Pleuronectes platessa_adults,species
Mya arenaria_adults,species
Talitrus saltator_adults,species
Bathyporeia pilosa_adults,species
Idotea emarginata_adults,species
Eurydice pulchra_adults,species
Nereis virens_adults,species
Hesionidae_adults,family+
Parathemisto spp._adults,genus
Phyllodoce_adults,genus
Eteone_adults,genus
Aricia spp._adults,genus
Tubifex costatus_adults,species
Alderia modesta_adults,species
Retusa obtusa_adults,species
Diptera larvae/pupae_adults,unclassified
Diatoms_NA,unclassified
Fucus ceranoides_NA,species
POM (detritus)_NA,unclassified
Lithobius sp._adults,genus
Achipteria coleoptrata_adults,species
Geophilus ribauti_adults,species
Lithobius aeruginosus {m}_adults,species
Adoristes ovatus_adults,species
Schendyla nemorensis_adults,species
Adrastus sp. (juv)_juveniles,genus
Pterostichus strenuus_adults,species
Amaurobius sp. (juv)_juveniles,genus
Phalangiidae sp. (juv)_juveniles,family+
Robertus lividus_adults,species
Allacma fusca_adults,species
algae_NA,unclassified
Campodea sp. {m}_adults,genus
Brachychthoniidae spp._adults,family+
Carabodes labyrinthicus_adults,species
Sphaeridia pumilis_adults,species
omnivorous nematodes_NA,unclassified
Enchytraeidae_NA,family+
Scutigerella immaculata {m}_adults,species
Atheta fungi_adults,species
Atheta sp._adults,genus
Linyphiidae (juv)_juveniles,family+
Robertus sp. (juv) {m}_juveniles,genus
Lysigamasus lapponicus_adults,species
Uroseius cylindricus_adults,species
Uroseius cylindricus (juv)_juveniles,species
Veigaia nemorensis_adults,species
Veigaia nemorensis (juv)_juveniles,species
Lysigamasus jugincola_adults,species
Linyphiidae cf Erigoniinae (juv) {s}_juveniles,family+
Hahniidae sp. (juv)_juveniles,family+
Robertus lividus (juv) {m}_juveniles,species
Rhodacarus agrestis_adults,species
Anthicidae sp._adults,family+
Allaiulus nitidus {xxl}_adults,species
Ceratophysella denticulata_adults,species
amoebae_NA,unclassified
Isotomiella minor_adults,species
Megalothorax minimus_adults,species
Parisotoma notabilis_adults,species
Proisotoma minima_adults,species
Willemia aspinata_adults,species
Chamobates borealis_adults,species
Pseudanurophorus binoculatus_adults,species
predacious nematodes_NA,unclassified
Malthodes sp. (juv)_juveniles,genus
Gyrohypnus sp. (juv)_juveniles,genus
Othius sp. (juv) {m}_juveniles,genus
Xantholinus sp. (juv) {m}_juveniles,genus
Xantholininae sp. (juv)_juveniles,family+
Micrargus herbigradus_adults,species
Microneta viaria_adults,species
Neobisium sp._adults,genus
Erigonella hiemalis_adults,species
Robertus scoticus_adults,species
Monocephalus fuscipes_adults,species
Athous subfuscus (juv) {l}_juveniles,species
Staphylinidae spec_adults,family+
Asthenargus paganus_adults,species
Ceratinella brevis_adults,species
Tenuiphantes tenuis_adults,species
Athous zebei (juv) {s}_juveniles,species
bacteria_NA,unclassified
Protaphorura armata_adults,species
Nanhermannia nana_adults,species
Protaphorura sp._adults,genus
Tachypodoiulus niger_adults,species
bacterivorous nematodes_NA,unclassified
flagellates_NA,unclassified
ciliates_NA,unclassified
Julidae sp._adults,family+
Trichoniscus pusillus {m}_adults,species
Mesaphorura sp._adults,species
Pergamasinae (juv) {xs}_juveniles,family+
Trachytes aegrota_adults,species
Uropoda cassidea (juv)_juveniles,species
Dissorhina ornata_adults,species
Oribatida sp. (juv)_juveniles,family+
Microppia minus_adults,species
Nothrus silvestris_adults,species
Oppiella falcata_adults,species
Oppiella nova_adults,species
Oppiella subpectinata_adults,species
Suctobelbella sp._adults,genus
Cornodendrolaelaps cf cornutulus_adults,species
Geholaspis mandibularis (juv.)_juveniles,species
Pachylaelaps cf. vexillifer_adults,species
Mesaphorura macrochaeta_adults,species
Trachytes aegrota (juv) {s}_juveniles,species
Chamobates voigtsi_adults,species
Dalopius marginatus (juv) {m}_juveniles,species
Damaeobelba minutissima_adults,species
Nargus anisotomoides_adults,species
dead organic matter_NA,unclassified
Phthiracarus borosetosus_adults,species
Phthiracarus compressus_adults,species
Phthiracarus longulus_adults,species
Platynothrus peltifer_adults,species
Quadroppia quadricarinata_adults,species
saphrophytes_NA,unclassified
Nanhermannia elegantula_adults,species
Rhysotritia duplicata_adults,species
Liacarus coracinus_adults,species
Liacarus subterraneus_adults,species
Quadroppia hammerae_adults,species
Tectocepheus velatus velatus_adults,species
Dicyrtomina ornata_adults,species
Edwarzetes edwardsii_adults,species
Elateridae sp1 (juv) {m}_juveniles,family+
Folsomia quadrioculata_adults,species
Folsomia spinosa_adults,species
fungivorous nematodes_NA,unclassified
leaf litter_NA,unclassified
mykorrhiza_NA,unclassified
Trichoribates novus_adults,species
plants_NA,unclassified
Scolytidae sp._adults,family+
root exudates_NA,unclassified
root feeding nematodes_NA,unclassified
roots_NA,unclassified
Lithobius muticus_adults,species
Lithobius mutabilis_adults,species
Lithobius cf. mutabilis (juv)_juveniles,species
Lithobius sp. (juv) {m}_juveniles,genus
Lithobius sp1 {s}_adults,genus
Lithobius sp2 {s}_adults,genus
Lithobius aeruginosus (juv)_juveniles,species
Strigamia acuminata (juv)_juveniles,species
Lithobius aeruginosus {l}_adults,species
Achipteria nitens_adults,species
Lithobius piceus_adults,species
Lithobius aulacopus_adults,species
Aegopinella nitens_adults,species
Aegopinella nitens (juv)_juveniles,species
Agelenidae sp. (juv)_juveniles,family+
Carabidae sp._adults,family+
Harpalinae sp._adults,family+
Aleocharinae sp1 (juv)_juveniles,family+
Geostiba circellaris_adults,species
Oxypoda annularis_adults,species
Coelotes sp. (juv) {l}_juveniles,genus
Diplocephalus picinus_adults,species
Neobisium carcinoides_adults,species
Saloca diceros_adults,species
Tapinocyba pallens_adults,species
Walckenaeria dysderoides_adults,species
Pergamasus septentrionalis_adults,species
Xantholinus sp. (juv) {s}_juveniles,genus
Euophrys frontalis_adults,species
Theridiidae sp. (juv)_juveniles,family+
Porrhomma microphthalmum_adults,species
Ero furcata_adults,species
Eulohmannia ribagai_adults,species
Carabodes femoralis_adults,species
Discus rotundatus (juv)_juveniles,species
Allaiulus nitidus (juv) {s}_juveniles,species
Allaiulus nitidus {xl}_adults,species
Isotomidae sp._adults,family+
Xenyella sp._adults,genus
Lumbricus terrestris (juv) {xxl}_juveniles,species
Anthicus floralis_adults,species
Atheta sp. (juv)_juveniles,genus
Linyphiidae cf Erigoniinae (juv) {m}_juveniles,family+
Athous haemorrhoidalis (juv)_juveniles,species
Athous sp. (juv)_juveniles,genus
Oribatula tibialis_adults,species
Julidae sp. (juv) {m}_juveniles,family+
Trichoniscus sp._adults,genus
Micranurida granulata_adults,species
Lysigamasus sp. (juv)_juveniles,genus
Geholaspis aeneus_adults,species
Trachytes pauperior (juv)_juveniles,species
Uropoda cassidea_adults,species
Veigaia cerva_adults,species
Veigaia exigua_adults,species
Hypochthonius rufulus_adults,species
Lysigamasus celticus_adults,species
Lysigamasus minorleitneriae_adults,species
Lysigamasus cf wasmanni_adults,species
Zercon cf romagniolus_adults,species
Zercon cf triangularis_adults,species
Neanura muscorum_adults,species
Trachytes pauperior{s}_adults,species
Byrrhidae sp._adults,family+
Coleoptera sp. (juv)_juveniles,family+
Dalopius marginatus (juv) {l}_juveniles,species
Phthiracarus anonymus_adults,species
Tectocepheus velatus sarekensis_adults,species
Elateridae sp._adults,family+
Elateridae sp1 (juv) {l}_juveniles,family+
Fuscozetes setosus_adults,species
Lepidocyrtus cyaneus_adults,species
Lepidocyrtus lanuginosus_adults,species
Tomocerus flavescens_adults,species
Tomocerus minor_adults,species
Parachipteria punctata_adults,species
Lepidocyrtus lignorum_adults,species
Nesovitrea hammonis_adults,species
Scheloribates initialis_adults,species
Sphaerozetes piriformes_adults,species
Lithobius aeruginosus {s}_adults,species
Lithobius sp3 {m}_adults,genus
Acrotona sylvicola_adults,species
Strigamia acuminata_adults,species
Macrargus rufus_adults,species
Troxochrus nasutus_adults,species
Harpactea lepida (juv) large_juveniles,species
Sminthurinus aureus_adults,species
Carabodes coriaceus_adults,species
Carabodes ornatus_adults,species
Scolopendrella cf. subnuda {m}_adults,species
Molops piceus_adults,species
Dendrodrilus rubidus_adults,species
Octolasion tyrtaeum{xxxl}_adults,species
Octolasion tyrtaeum (juv) {xxl}_juveniles,species
Athous subfuscus_adults,species
Athous zebei (juv) {m}_juveniles,species
Atropacarus striculus_adults,species
Polydesmidae sp._adults,family+
Epicrius canestrinii_adults,species
Zerconidae sp. (juv)_juveniles,family+
Lysigamasus parunciger_adults,species
Lysigamasus truncellus_adults,species
Trichouropoda cf. obscura (juv)_juveniles,species
Mesaphorura italica_adults,species
Centromerus brevivulvatus_adults,species
Liacarus xylariae_adults,species
Phthiracarus clavatus_adults,species
Quadroppia monstruosa_adults,species
Eupelops hirtus_adults,species
Glomeris sp._adults,genus
Nesovitrea hammonis (juv)_juveniles,species
Scarabeidae sp. (juv)_juveniles,family+
Abax sp._adults,genus
Trogulus tricarinatus_adults,species
Geophilus studeri_adults,species
Lithobius mutabilis (juv)_juveniles,species
Geophilomorpha sp._adults,family+
Eurocoelotes inermis_adults,species
Lumbricus terrestris_adults,species
Aporectodea longa (juv)_juveniles,species
Lumbricus terrestris (juv) {xxxl}_juveniles,species
Clubiona comta_adults,species
Tapinocyba insecta_adults,species
Carabidae sp1_adults,family+
Lithobius sp2 {l}_adults,genus
Robertus lividus (juv) {l}_juveniles,species
Cantharidae sp._adults,family+
Centromerus prudens_adults,species
Protaphorura fimata_adults,species
Ligidium hypnorum_adults,species
Chordeumatidae (juv) {m}_juveniles,family+
Geholaspis mandibularis_adults,species
Holoparasitus stramenti_adults,species
Leitneria granulata (juv)_juveniles,species
Macrocheles montanus_adults,species
Pachyseius humeralis_adults,species
Rhodacarellus kreuzi_adults,species
Uropoda athiasae_adults,species
Berniniella conjuncta_adults,species
Macrochelidae (juv)_juveniles,family+
Ceratozetes gracilis_adults,species
Cochlodina laminata_adults,species
Coleoptera sp._adults,family+
Phthiracarus globosus_adults,species
Epidamaeus setiger_adults,species
Phthiracarus ferrugineus_adults,species
Galumna lanceata_adults,species
Glomeris sp. (juv) {m}_juveniles,genus
Tomocerus baudoti_adults,species
Lepidocyrtus sp. (juv)_juveniles,genus
Ena montana_adults,species
Ena montana (juv)_juveniles,species
Monachoides incarnatus_adults,species
Trichia striolata (juv)_juveniles,species
Pantelozetes paolii_adults,species
Steganacarus herculeanus_adults,species
Plectophoreus fischeri_adults,species
Geophilus flavus (juv)_juveniles,species
Lithobius sp1 {l}_adults,genus
Trogulus sp. (juv)_juveniles,genus
Sminthuridae (juv)._juveniles,family+
Scutigerella immaculata {s}_adults,species
Arion silvaticus_adults,species
Arion ater_adults,species
Lithobius tricuspis_adults,species
Lumbricus sp. (juv)_juveniles,genus
Lumbricidae sp. (juv)_juveniles,family+
Anatis ocellata_adults,species
Limax cinereoniger_adults,species
Othius subuliformis_adults,species
Harpactea lepida (juv) small_juveniles,species
Diplostyla concolor_adults,species
Robertus sp._adults,genus
Pocadicnemis juncea_adults,species
Athous subfuscus (juv) {m}_juveniles,species
Hymenaphorura sp. (juv)_juveniles,genus
Lysigamasus cf conus_adults,species
Macrocheles dentatus_adults,species
Uropoda minima_adults,species
Uropoda minima (juv)_juveniles,species
Suctobelba trigona_adults,species
Lysigamasus cf arcuatus_adults,species
Pergamasinae (juv) {s}_juveniles,family+
Chamobates cuspidatus_adults,species
Curculionidae sp._adults,family+
Lathrididae sp._adults,family+
Monachoides incarnatus (juv)_juveniles,species
