,id,food.web,ecosystem.type,res.taxonomy,con.taxonomy,res.lifestage,con.lifestage,res.mass,con.mass,res.met,con.met,res.mov,con.mov,int.type,res.taxonomy.level,con.taxonomy.level
29,11,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae,Conocephalus dorsalis,adults,NA,0.000744173,0.07568607,invertebrate,invertebrate,flying,walking,predacious,family+,species
30,18,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limoniidae,Conocephalus dorsalis,NA,NA,0.000784039,0.07568607,invertebrate,invertebrate,flying,walking,predacious,family+,species
31,15,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Lepidoptera,Neoscona adianta,NA,juveniles,0.000250873,0.021763853,invertebrate,invertebrate,flying,walking,predacious,unclassified,species
32,19,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Entomobryomorpha,Heteroptera,NA,NA,2.95e-05,0.001825128,invertebrate,invertebrate,walking,walking,predacious,unclassified,unclassified
33,20,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Poduromorpha,Heteroptera,NA,NA,2.95e-05,0.001825128,invertebrate,invertebrate,walking,walking,predacious,genus,unclassified
34,21,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Sminthuridae,Heteroptera,NA,NA,2.95e-05,0.001825128,invertebrate,invertebrate,walking,walking,predacious,family+,unclassified
35,22,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Cloeon simile,Neoscona adianta,NA,NA,0.000589844,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
36,23,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limoniidae,Neoscona adianta,NA,NA,0.000784039,0.03271487,invertebrate,invertebrate,flying,walking,predacious,family+,species
37,19,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Entomobryomorpha,Heteroptera,NA,larvae,2.95e-05,0.001226525,invertebrate,invertebrate,walking,walking,predacious,unclassified,unclassified
38,20,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Poduromorpha,Heteroptera,NA,larvae,2.95e-05,0.001226525,invertebrate,invertebrate,walking,walking,predacious,genus,unclassified
39,21,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Sminthuridae,Heteroptera,NA,larvae,2.95e-05,0.001226525,invertebrate,invertebrate,walking,walking,predacious,family+,unclassified
40,14,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Tettigoniidae,larvae,larvae,0.000744173,0.030210826,invertebrate,invertebrate,swimming,walking,predacious,family+,family+
41,17,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae,Tettigoniidae,adults,NA,0.000744173,0.030210826,invertebrate,invertebrate,flying,walking,predacious,family+,family+
42,24,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Dolomedes sp,NA,juveniles,0.000163186,0.006460064,invertebrate,invertebrate,flying,walking,predacious,family+,genus
43,25,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Tetrastichus sp,Neoscona adianta,NA,NA,0.000845167,0.03271487,invertebrate,invertebrate,flying,walking,predacious,genus,species
44,22,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Cloeon simile,Neoscona adianta,NA,juveniles,0.000589844,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
45,26,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Trichoptera,Pisaura mirabilis,larvae,NA,0.002064455,0.069782511,NA,invertebrate,NA,walking,predacious,unclassified,species
46,27,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Muscidae copro,Neoscona adianta,NA,NA,0.001118917,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
47,28,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Muscidae flor,Neoscona adianta,NA,NA,0.001118917,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
48,23,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limoniidae,Neoscona adianta,NA,juveniles,0.000784039,0.021763853,invertebrate,invertebrate,flying,walking,predacious,family+,species
49,29,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ilione lineata,Pisaura mirabilis,NA,NA,0.002657759,0.069782511,invertebrate,invertebrate,flying,walking,predacious,species,species
50,25,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Tetrastichus sp,Neoscona adianta,NA,juveniles,0.000845167,0.021763853,invertebrate,invertebrate,flying,walking,predacious,genus,species
51,30,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Herina parva,Neoscona adianta,NA,NA,0.00132888,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
52,31,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Sciaridae,Tetragnatha sp,NA,NA,0.000234149,0.005665511,invertebrate,invertebrate,flying,walking,predacious,family+,genus
53,32,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Dolichopus nubilius,NA,NA,0.000163186,0.003720863,invertebrate,invertebrate,flying,flying,predacious,family+,species
54,9,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ceratopogonidae,Conocephalus dorsalis,larvae,NA,0.003322199,0.07568607,invertebrate,invertebrate,swimming,walking,predacious,family+,species
55,33,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chrysotus cilipes,Tetragnatha sp,NA,NA,0.000265776,0.005665511,invertebrate,invertebrate,flying,walking,predacious,species,genus
56,34,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Teuchophorus calcaratus,Tetragnatha sp,NA,NA,0.000265776,0.005665511,invertebrate,invertebrate,flying,walking,predacious,species,genus
57,35,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Herina frondescentiae,Neoscona adianta,NA,NA,0.001568078,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
58,36,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Hercostomus assimilis,Neoscona adianta,NA,NA,0.001594655,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
59,37,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Pteronemobius heydenii,Pisaura mirabilis,NA,NA,0.003529897,0.069782511,invertebrate,invertebrate,walking,walking,predacious,species,species
60,27,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Muscidae copro,Neoscona adianta,NA,juveniles,0.001118917,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
61,28,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Muscidae flor,Neoscona adianta,NA,juveniles,0.001118917,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
62,38,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limnia paludicola,Pisaura mirabilis,NA,NA,0.004066371,0.069782511,invertebrate,invertebrate,flying,walking,predacious,species,species
63,30,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Herina parva,Neoscona adianta,NA,juveniles,0.00132888,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
64,18,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limoniidae,Conocephalus dorsalis,larvae,NA,0.005315518,0.07568607,invertebrate,invertebrate,NA,walking,predacious,family+,species
65,39,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae,Dolichopus nubilius,adults,NA,0.000265776,0.003720863,invertebrate,invertebrate,flying,flying,predacious,family+,species
66,35,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Herina frondescentiae,Neoscona adianta,NA,juveniles,0.001568078,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
67,36,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Hercostomus assimilis,Neoscona adianta,NA,juveniles,0.001594655,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
68,40,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limoniidae,Pisaura mirabilis,larvae,NA,0.005315518,0.069782511,invertebrate,invertebrate,NA,walking,predacious,family+,species
69,41,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Anotylus sp,Antistea elegans,NA,NA,0.000105535,0.00131965,invertebrate,invertebrate,walking,walking,predacious,genus,species
70,42,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Bryaxis sp,Antistea elegans,NA,NA,0.000105535,0.00131965,invertebrate,invertebrate,walking,walking,predacious,genus,species
71,43,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ilione lineata,Neoscona adianta,NA,NA,0.002657759,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
72,44,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Pisaura mirabilis,Dolomedes sp,immature,juveniles,0.000528551,0.006460064,invertebrate,invertebrate,walking,walking,predacious,species,genus
73,45,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Drosophilidae,Tetragnatha sp,NA,NA,0.000531552,0.005665511,invertebrate,invertebrate,flying,walking,predacious,family+,genus
74,46,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ichneumonidae,Pisaura mirabilis,NA,NA,0.006644397,0.069782511,invertebrate,invertebrate,flying,walking,predacious,family+,species
75,47,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Tibellus sp,Pisaura mirabilis,immature,NA,0.007220072,0.069782511,invertebrate,invertebrate,walking,walking,predacious,genus,species
76,48,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Propylaea quatuordecimpunctata,Neoscona adianta,NA,NA,0.003583266,0.03271487,invertebrate,invertebrate,walking,walking,predacious,species,species
77,12,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ceratopogonidae,Tettigoniidae,larvae,larvae,0.003322199,0.030210826,invertebrate,invertebrate,swimming,walking,predacious,family+,family+
78,49,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Opilionida,larvae,NA,0.001226525,0.010951018,invertebrate,invertebrate,walking,walking,predacious,unclassified,unclassified
79,50,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Araneae,larvae,NA,0.001226525,0.010881926,invertebrate,invertebrate,walking,walking,predacious,unclassified,unclassified
80,51,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Dolichopus nubilius,Neoscona adianta,NA,NA,0.003720863,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
81,24,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Dolomedes sp,larvae,juveniles,0.000744173,0.006460064,invertebrate,invertebrate,swimming,walking,predacious,family+,genus
82,52,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Meligethes sp,Tetragnatha sp,NA,NA,0.000652842,0.005665511,invertebrate,invertebrate,walking,walking,predacious,genus,genus
83,53,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chartoscirta cincta,Neoscona adianta,NA,NA,0.003909244,0.03271487,invertebrate,invertebrate,walking,walking,predacious,species,species
84,43,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ilione lineata,Neoscona adianta,NA,juveniles,0.002657759,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
85,54,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limnia paludicola,Neoscona adianta,NA,NA,0.004066371,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
86,55,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Pachybrachius sp,Neoscona adianta,NA,NA,0.004153571,0.03271487,invertebrate,invertebrate,walking,walking,predacious,species,species
87,56,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ephydridae,Tetragnatha sp,NA,NA,0.000797328,0.005665511,invertebrate,invertebrate,flying,walking,predacious,family+,genus
88,31,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Sciaridae,Tetragnatha sp,NA,juveniles,0.000234149,0.001620198,invertebrate,invertebrate,flying,walking,predacious,family+,genus
89,41,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Anotylus sp,Antistea elegans,NA,juveniles,0.000105535,0.000722007,invertebrate,invertebrate,walking,walking,predacious,genus,species
90,42,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Bryaxis sp,Antistea elegans,NA,juveniles,0.000105535,0.000722007,invertebrate,invertebrate,walking,walking,predacious,genus,species
91,57,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Aphidoidea,Antistea elegans,NA,NA,0.000195462,0.00131965,invertebrate,invertebrate,walking,walking,predacious,unclassified,species
92,58,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Marpissa radiata,Tibellus sp,immature,juveniles,0.00107092,0.007220072,invertebrate,invertebrate,walking,walking,predacious,species,genus
93,33,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chrysotus cilipes,Tetragnatha sp,NA,juveniles,0.000265776,0.001620198,invertebrate,invertebrate,flying,walking,predacious,species,genus
94,34,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Teuchophorus calcaratus,Tetragnatha sp,NA,juveniles,0.000265776,0.001620198,invertebrate,invertebrate,flying,walking,predacious,species,genus
95,48,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Propylaea quatuordecimpunctata,Neoscona adianta,NA,juveniles,0.003583266,0.021763853,invertebrate,invertebrate,walking,walking,predacious,species,species
96,49,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Opilionida,NA,NA,0.001825128,0.010951018,invertebrate,invertebrate,walking,walking,predacious,unclassified,unclassified
97,59,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae,Hercostomus assimilis,adults,NA,0.000265776,0.001594655,invertebrate,invertebrate,flying,flying,predacious,family+,species
98,50,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Araneae,NA,NA,0.001825128,0.010881926,invertebrate,invertebrate,walking,walking,predacious,unclassified,unclassified
99,51,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Dolichopus nubilius,Neoscona adianta,NA,juveniles,0.003720863,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
100,60,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chrysomelidae,Neoscona adianta,NA,NA,0.00564487,0.03271487,invertebrate,invertebrate,walking,walking,predacious,family+,species
101,53,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chartoscirta cincta,Neoscona adianta,NA,juveniles,0.003909244,0.021763853,invertebrate,invertebrate,walking,walking,predacious,species,species
102,54,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Limnia paludicola,Neoscona adianta,NA,juveniles,0.004066371,0.021763853,invertebrate,invertebrate,flying,walking,predacious,species,species
103,61,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Lycosidae,Lathrobium fovalum,immature,NA,0.000279476,0.001472575,invertebrate,invertebrate,walking,walking,predacious,family+,species
104,55,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Pachybrachius sp,Neoscona adianta,NA,juveniles,0.004153571,0.021763853,invertebrate,invertebrate,walking,walking,predacious,species,species
105,62,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Antistea elegans,Staphylinidae,immature,larvae,0.000722007,0.003694438,invertebrate,invertebrate,walking,walking,predacious,species,family+
106,32,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Dolichopus nubilius,larvae,NA,0.000744173,0.003720863,invertebrate,invertebrate,swimming,flying,predacious,family+,species
107,39,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Psychodidae,Dolichopus nubilius,adults,NA,0.000744173,0.003720863,invertebrate,invertebrate,flying,flying,predacious,family+,species
108,63,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ichneumonidae,Neoscona adianta,NA,NA,0.006644397,0.03271487,invertebrate,invertebrate,flying,walking,predacious,family+,species
109,64,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chaetocnema confusa,Tetragnatha sp,NA,NA,0.001227146,0.005665511,invertebrate,invertebrate,walking,walking,predacious,species,genus
110,65,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chloropidae,Tetragnatha sp,NA,NA,0.001310275,0.005665511,invertebrate,invertebrate,flying,walking,predacious,family+,genus
111,66,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Salticidae,Marpissa radiata,NA,NA,0.007980079,0.033993065,invertebrate,invertebrate,walking,walking,predacious,family+,species
112,67,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Zora spinimana,larvae,NA,0.001226525,0.00518187,invertebrate,invertebrate,walking,walking,predacious,unclassified,species
113,68,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Cicadina,Antistea elegans,larvae,NA,0.000332286,0.00131965,invertebrate,invertebrate,walking,walking,predacious,unclassified,species
114,60,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chrysomelidae,Neoscona adianta,NA,juveniles,0.00564487,0.021763853,invertebrate,invertebrate,walking,walking,predacious,family+,species
115,69,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Heteroptera,Paederus riparius,larvae,NA,0.001226525,0.004589525,invertebrate,invertebrate,walking,walking,predacious,unclassified,species
116,57,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Aphidoidea,Antistea elegans,NA,juveniles,0.000195462,0.000722007,invertebrate,invertebrate,walking,walking,predacious,unclassified,species
117,70,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Tetanocera ferruginea,Neoscona adianta,NA,NA,0.00903638,0.03271487,invertebrate,invertebrate,flying,walking,predacious,species,species
118,71,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Cicadella viridis,Neoscona adianta,NA,NA,0.009528781,0.03271487,invertebrate,invertebrate,walking,walking,predacious,species,species
119,63,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Ichneumonidae,Neoscona adianta,NA,juveniles,0.006644397,0.021763853,invertebrate,invertebrate,flying,walking,predacious,family+,species
120,72,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",terrestrial aboveground,Chironomidae,Pisaura mirabilis,NA,juveniles,0.000163186,0.000528551,invertebrate,invertebrate,flying,walking,predacious,family+,species
