,0,1,2
21,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Hypostenus sp,21
22,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lathrobium fovalum,22
23,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lesteva sicula,23
24,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lycosidae,24
25,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pachygnatha sp,25
26,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pardosa prativaga,26
27,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pardosa sp,27
28,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pirata latitans,28
29,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pirata tenuitarsis,29
30,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Stilicus rufipes,30
31,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetartopeus terminatum,31
32,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetramorium sp,32
33,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Theridiidae,33
34,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Thomisidae,34
35,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trochosa sp,35
36,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Xysticus sp,36
37,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Zelotes sp,37
38,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Anisoptera,38
39,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Anotylus sp,39
40,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Antistea elegans,40
41,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Bathyphantes gracilis,41
42,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Gnathonarium dentatum,42
43,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lepthyphantes tenuis,43
44,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Liocranidae,44
45,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Walckenaeria nudipalpis,45
46,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Aphidoidea,46
47,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Araneidae,47
48,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Argyra vestita,48
49,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Cantharis fulvicollis,49
50,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chrysopidae,50
51,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chrysotus cilipes,51
52,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Clubiona sp,52
53,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Coenagrion pulchellum,53
54,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Coenagrion sp,54
55,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Dolichopus nubilius,55
56,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Ephydridae,56
57,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Hercostomus assimilis,57
58,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Hybotidae,58
59,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Marpissa radiata,59
60,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Salticidae,60
61,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Somatochlora flavomaculata,61
62,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Somatochlora sp,62
63,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Sympetrum sp,63
64,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetragnatha sp,64
65,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tettigoniidae,65
66,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Teuchophorus calcaratus,66
67,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Theridion sp,67
68,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Zygoptera,68
69,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Aphtona lutescens,69
70,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Larinioides sp,70
71,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Neoscona adianta,71
72,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tibellus sp,72
73,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Apis mellifera L.,73
74,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Larinioides cornutus,74
75,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tibellus maritimus,75
76,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Dolomedes sp,76
77,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetragnatha extensa,77
78,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pirata piscatorius,78
79,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Armadillidium vulgare,79
80,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Brachycera,80
81,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Haemopis sanguisuga,81
82,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Opilionida,82
83,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pirata sp,83
84,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Calliphoridae,84
85,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Carabidae,85
86,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Ceratopogonidae,86
87,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chartoscirta cincta,87
88,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Sitticus sp,88
89,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chaetocnema confusa,89
90,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chironomidae,90
91,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chloropidae,91
92,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chrysomelidae,92
93,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Zora spinimana,93
94,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Chrysotoxum sp,94
95,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Cicadella viridis,95
96,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Cicadina,96
97,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Cloeon simile,97
98,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Coleoptera,98
99,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Delphacidae,99
100,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Diplocampa assimile,100
101,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Drosophilidae,101
102,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Dryops auriculatus,102
103,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Gongylidiellum murcidum,103
104,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Linyphiidae,104
105,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Entomobryomorpha,105
106,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Hebrus pusillus,106
107,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Erichsonius cinerascens,107
108,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Euconulus alderi,108
109,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Fulgoroidea,109
110,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Natrix natrix,110
111,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Helicidae,111
112,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Herina frondescentiae,112
113,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Herina parva,113
114,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Ichneumonidae,114
115,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Ilione albiseta,115
116,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Ilione lineata,116
117,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Jassidae,117
118,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Lepidoptera,118
119,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Ligidium hypnorum,119
120,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Limacidae,120
121,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pterostichus sp,121
122,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Limnia paludicola,122
123,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Limnobaris dolorosa,123
124,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Limoniidae,124
125,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Meligethes sp,125
126,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Microtus agrestis,126
127,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Muscidae copro,127
128,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Muscidae flor,128
129,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Oedemera nobilis,129
130,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Oxyloma elegans,130
131,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pachybrachius sp,131
132,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pelochares versicolor,132
133,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pentatomidae,133
134,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pherbina coryleti,134
135,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pipinculus sp,135
136,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Platystethus nodifrons,136
137,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Poduromorpha,137
138,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Proctotrupoidea,138
139,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Psychodidae,139
140,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Pteronemobius heydenii,140
141,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Rhagionidae,141
142,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Sciaridae,142
143,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Silometopus elegans,143
144,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Sminthuridae,144
145,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Stratiomyidae,145
146,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Succinea putris,146
147,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetanocera ferruginea,147
148,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetragnathidae,148
149,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetramesa sp,149
150,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tetrastichus sp,150
151,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Tipulidae,151
152,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trachelipus rathkei,152
153,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trichia sericea,153
154,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trichoniscidae,154
155,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trichoptera,155
156,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trogophloeus corticinus,156
157,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Trypoxylon attenuatum,157
158,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Valvata sp,158
159,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Vertigo antivertigo,159
160,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Vertigo moulinsiana,160
161,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",Vertigo pygmaea,161
162,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Acari phyto,0
163,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Acari pred,1
164,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Euconnus hirticollis,2
165,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Staphylinidae,3
166,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Aeshnidae,4
167,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Emberiza schoeniclus,5
168,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Falco subbuteo,6
169,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Agonum viduum,7
170,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Hyla arborea arborea,8
171,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Lithobius piceus,9
172,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Paederus riparius,10
173,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Rana temporaria temporaria,11
174,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Robertus insignis,12
175,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Robertus sp,13
176,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Aleocharinae,14
177,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Araneae,15
178,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Hemistenus flavipes,16
179,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Lithobius sp,17
180,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Microlinyphia impigra,18
181,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pirata sp,19
182,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pirata tenuitarsis,20
183,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Staphylininae,21
184,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Xysticus sp,22
185,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Zelotes sp,23
186,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Anacaena limbata,24
187,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Arctosa sp,25
188,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pirata piraticus,26
189,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Trochosa sp,27
190,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Anisoptera,28
191,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Antistea elegans,29
192,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Hypocyphtus discoideus,30
193,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Dolomedes sp,31
194,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Marpissa radiata,32
195,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Theridion sp,33
196,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Araneidae,34
197,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Araneus diadematus,35
198,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Blattodea,36
199,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Conocephalus dorsalis,37
200,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Brachycera,38
201,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Caelifera,39
202,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Vulpes vulpes,40
203,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Calliphoridae,41
204,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Larinioides cornutus,42
205,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Orthetrum sp,43
206,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pisaura mirabilis,44
207,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Sympetrum sanguineum,45
208,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Sympetrum sp,46
209,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Sympetrum striolatum,47
210,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Sympetrum vulgatum,48
211,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Tibellus maritimus,49
212,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Tibellus sp,50
213,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Campsicnemus scambus,51
214,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Clubiona sp,52
215,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Dolichopus nitidus,53
216,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Empididae,54
217,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Evarcha sp,55
218,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Larinioides sp,56
219,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Mangora acalypha,57
220,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Thanatus sp,58
221,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Cepaea hortensis,59
222,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Demetrias imperialis,60
223,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Ceratopogonidae,61
224,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Chartoscirta cincta,62
225,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Philodromidae,63
226,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Chaetarthria seminulum,64
227,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Linyphiidae,65
228,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Liocranidae,66
229,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pardosa sp,67
230,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Zora sp,68
231,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Chironomidae,69
232,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Chloropidae,70
233,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Chrysops relictus,71
234,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Cicadella viridis,72
235,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Cochlicopa nitens,73
236,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Coleoptera,74
237,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Culex sp,75
238,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Delphacidae,76
239,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Drosophilidae,77
240,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Entomobryomorpha,78
241,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Hebrus ruficeps,79
242,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Erigone atra,80
243,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Gnathonarium dentatum,81
244,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Gongylidiellum murcidum,82
245,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Hahnia pusilla,83
246,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Eupterygini,84
247,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Haematopota sp,85
248,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Helicidae,86
249,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Hybotidae,87
250,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Salticidae,88
251,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Natrix natrix,89
252,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Hylaeus sp,90
253,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Ichneumonidae,91
254,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Ilione lineata,92
255,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Jassidae,93
256,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Jassinae,94
257,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Lepidoptera,95
258,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Limnobaris dolorosa,96
259,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Limoniidae,97
260,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Microtus agrestis,98
261,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Muscidae copro,99
262,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Muscidae flor,100
263,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Mycetophilidae,101
264,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Myrmarachne formicaria ,102
265,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Oligochaeta,103
266,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Ootetrastichus sp,104
267,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Oxyloma elegans,105
268,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pachybrachius sp,106
269,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Parastenus sp,107
270,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pherbellia schoenherri,108
271,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Phoridae,109
272,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Pipinculus sp,110
273,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Platycheirus sp,111
274,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Poduromorpha,112
275,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Proctotrupoidea,113
276,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Psacadina zernyi,114
277,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Psychodidae,115
278,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Rhagionidae,116
279,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Sciaridae,117
280,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Sminthuridae,118
281,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Stethophyma grossum,119
282,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Tachinidae,120
283,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Tetrix sp,121
284,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Thripomorpha verralli,122
285,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Trigonometopus frontalis,123
286,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Tipula sp,124
287,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Tipulidae,125
288,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Trachelipus rathkei,126
289,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Trichia sericea,127
290,"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",Trichoniscidae,128
